Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,Cash,Gold,CAPE,SPX-TR Return,10YBond Return,Cash Return,Gold Return,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,10 Y BM 1 year avg
1,1871,"1,871.00",N/A,12.46410,100.00000,100.00000,100.00000,22.59000,11.1000,,,,,Fama French Factors only available starting in 1926,,,,,,,
2,1871,"1,871.08",N/A,12.84460,101.86680,102.29340,100.52920,22.59000,10.9167,-1.1508352241408900%,-0.7368725425470620%,-2.4488110396586800%,-2.9623343661928000%,0.00%,0.00%,-1.49%,"34,559.24",6.67,"1,162.10",0.30,-0.74%
3,1871,"1,871.17",N/A,13.03500,104.86650,103.44040,101.06110,22.59000,11.1859,1.4410319117829300%,-0.3557767240146110%,-0.9393112469677450%,-1.4606827771384700%,0.00%,0.00%,0.77%,"35,081.94",6.98,"1,191.81",0.31,-0.55%
4,1871,"1,871.25",N/A,12.55920,108.44610,105.05180,101.59590,22.59000,12.0553,7.3312590800419300%,5.4052799272909000%,4.3376906273558500%,3.7884578635581700%,0.00%,0.00%,6.53%,"34,812.71",6.87,"1,176.66",0.31,1.44%
5,1871,"1,871.33",N/A,12.27380,111.47450,106.72990,102.13350,22.59000,12.5934,5.1827518795121400%,3.9598247101645600%,2.8667377778846400%,2.3252782349394700%,0.00%,0.00%,4.55%,"32,679.13",6.66,"1,208.95",0.32,2.07%
6,1871,"1,871.42",N/A,12.08350,111.08290,107.94940,102.67400,22.59000,12.5945,1.2180513317131500%,2.7354733106599800%,2.1124185328501600%,1.5748748293126900%,0.00%,0.00%,1.37%,"31,256.16",6.45,"1,218.42",0.32,2.20%
7,1871,"1,871.50",N/A,12.08350,109.54970,106.62930,103.21730,22.59000,12.2670,-1.3802304405088300%,-1.2228877603766300%,0.5291505152229310%,0.0000000000000000%,0.00%,0.00%,-1.09%,"30,834.41",6.07,"1,157.56",0.31,1.63%
8,1871,"1,871.58",N/A,11.89320,111.17500,107.49900,103.76350,22.59000,12.5543,3.1074318418501800%,2.4287541421640600%,2.1377160384398600%,1.6000739918609100%,0.00%,0.00%,2.77%,"31,175.41",6.26,"1,174.90",0.31,1.74%
9,1871,"1,871.67",N/A,12.17860,112.80660,108.90610,104.31260,22.59000,12.3136,-0.9102512341511940%,-1.0651869791320000%,-1.8266719504271800%,-2.3434549127157400%,0.00%,0.00%,-1.20%,"30,333.79",6.03,"1,157.58",0.31,1.39%
10,1871,"1,871.75",N/A,12.36890,107.48600,108.58510,104.86460,22.59000,11.4754,-6.1825380649790700%,-1.8287506722063500%,-1.0174991302282600%,-1.5385361673228800%,0.00%,0.00%,-5.03%,"30,702.88",6.33,"1,195.25",0.32,1.04%
11,1871,"1,871.83",N/A,12.36890,109.13440,109.22350,105.41950,22.59000,11.6004,1.5335950728466900%,0.5879259677432860%,0.5291585530293300%,0.0000000000000000%,0.00%,0.00%,1.18%,"32,330.24",6.82,"1,217.06",0.33,0.99%
12,1871,"1,871.92",N/A,12.65440,112.25460,110.10270,105.97730,22.59000,11.5830,0.5384074703845170%,-1.4693381256399700%,-1.7389458758916600%,-2.2561322543937300%,0.00%,0.00%,-0.12%,"31,952.53",7.14,"1,283.09",0.35,0.77%
1,1872,"1,872.00",N/A,12.65440,115.42200,107.31280,106.66700,23.19000,11.8986,2.8216215638379200%,-2.5339069795745400%,0.6507997467382290%,2.6560424966799400%,0.00%,0.00%,2.52%,"31,990.40",7.31,"1,305.92",0.36,0.49%
2,1872,"1,872.08",N/A,12.65440,116.53620,107.23100,107.36130,23.19000,11.9609,0.9653272339761990%,-0.0762257624439933%,0.6509042159243310%,0.0000000000000000%,0.00%,0.00%,0.72%,"31,203.08",7.37,"1,344.04",0.37,0.55%
3,1872,"1,872.17",N/A,12.84460,120.62180,108.12320,108.06000,23.19000,12.1765,1.9731714485136300%,-0.6610630004394880%,-0.8396215529798190%,-1.4807779144543200%,0.00%,0.00%,1.15%,"30,979.20",7.51,"1,373.37",0.38,0.52%
4,1872,"1,872.25",N/A,13.13010,124.72750,110.78280,108.76330,23.19000,12.2553,1.1553746803848000%,0.2319079930442670%,-1.5377029302513900%,-2.1743931881707100%,0.00%,0.00%,0.45%,"30,626.03",7.73,"1,423.01",0.39,0.09%
5,1872,"1,872.33",N/A,13.13010,125.26070,113.51700,109.47120,23.19000,12.2783,0.4274919324126490%,2.4680726610990100%,0.6508629289475380%,-0.0000000000000111%,0.00%,0.00%,0.45%,"30,490.12",8.06,"1,482.93",0.41,-0.03%
6,1872,"1,872.42",N/A,13.03500,124.59420,115.27710,110.18370,23.19000,12.2646,0.1936019572447380%,2.2914030558458300%,1.3851788172758900%,0.7295742232451110%,0.00%,0.00%,0.41%,"30,354.58",8.36,"1,537.91",0.43,-0.07%
7,1872,"1,872.50",N/A,12.84460,124.22720,113.22250,110.90080,23.19000,12.3790,1.1834124313034700%,-0.3263989700069470%,2.1428045722788200%,1.4823349890226200%,0.00%,0.00%,1.17%,"30,231.18",8.10,"1,487.87",0.42,0.00%
8,1872,"1,872.58",N/A,12.93980,123.31930,113.57550,111.62250,23.19000,12.1348,-1.4611760673841100%,-0.4262329084219860%,-0.0897406044588434%,-0.7357146169183370%,0.00%,0.00%,-1.26%,"29,881.50",8.06,"1,491.97",0.42,-0.23%
9,1872,"1,872.67",N/A,13.03500,122.12220,112.55880,112.34900,23.19000,11.8245,-1.6939838056421900%,-1.6189790076881700%,-0.0842404055129253%,-0.7303413885692330%,0.00%,0.00%,-1.50%,"30,263.38",8.73,"1,588.53",0.45,-0.28%
